id,song,artists_info,artists,album,date,genres,time,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duplicates,uri0,uri1
55,'Till I Collapse,"{'ar_name0': 'Eminem', 'ar_name0_fil': 'eminem', 'ar_uri0': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR', 'ar_name1': 'Nate Dogg', 'ar_name1_fil': 'nate dogg', 'ar_uri1': 'spotify:artist:1Oa0bMld0A3u5OTYfMzp5h'}","Eminem, Nate Dogg",The Eminem Show,2002-05-26,"['detroit hip hop', 'hip hop', 'rap', 'g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",297787,85,0.548,0.847,1.0,-3.237,1.0,0.186,0.0622,0.0,0.0816,0.1,171.447,spotify:track:4xkOaSrkexMciUUogZKVTS,"{'dup_id': -1, 'num_dup': 0}",spotify:track:4xkOaSrkexMciUUogZKVTS,
197,goosebumps,"{'ar_name0': 'Travis Scott', 'ar_name0_fil': 'travis scott', 'ar_uri0': 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY'}",Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,"['rap', 'slap house']",243837,84,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,spotify:track:6gBFPUFcJLzWGx4lenP6h2,"{'dup_id': -1, 'num_dup': 0}",spotify:track:6gBFPUFcJLzWGx4lenP6h2,
32,HUMBLE.,"{'ar_name0': 'Kendrick Lamar', 'ar_name0_fil': 'kendrick lamar', 'ar_uri0': 'spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg'}",Kendrick Lamar,DAMN.,2017-04-14,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",177000,83,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,"{'dup_id': -1, 'num_dup': 0}",spotify:track:7KXjTSCq5nL1LoYtL7XAwS,
158,SICKO MODE,"{'ar_name0': 'Travis Scott', 'ar_name0_fil': 'travis scott', 'ar_uri0': 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY'}",Travis Scott,ASTROWORLD,2018-08-03,"['rap', 'slap house']",312820,82,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,spotify:track:2xLMifQCjDGFmkHkpNLD9h,"{'dup_id': -1, 'num_dup': 0}",spotify:track:2xLMifQCjDGFmkHkpNLD9h,
24,Ric Flair Drip (with Metro Boomin),"{'ar_name0': 'Offset', 'ar_name0_fil': 'offset', 'ar_uri0': 'spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW', 'ar_name1': 'Metro Boomin', 'ar_name1_fil': 'metro boomin', 'ar_uri1': 'spotify:artist:0iEtIxbK0KxaSlF7G42ZOp'}","Offset, Metro Boomin",Without Warning,2017-10-30,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'hip hop', 'rap', 'southern hip hop', 'trap']",172800,81,0.88,0.428,9.0,-8.28,1.0,0.206,0.149,5.05e-05,0.114,0.333,100.007,spotify:track:7sO5G9EABYOXQKNPNiE9NR,"{'dup_id': -1, 'num_dup': 0}",spotify:track:7sO5G9EABYOXQKNPNiE9NR,
129,I Like It,"{'ar_name0': 'Cardi B', 'ar_name0_fil': 'cardi b', 'ar_uri0': 'spotify:artist:4kYSro6naA4h99UJvo89HB', 'ar_name1': 'Bad Bunny', 'ar_name1_fil': 'bad bunny', 'ar_uri1': 'spotify:artist:4q3ewBCX7sLwd24euuV69X', 'ar_name2': 'J Balvin', 'ar_name2_fil': 'j balvin', 'ar_uri2': 'spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5'}","Cardi B, Bad Bunny, J Balvin",Invasion of Privacy,2018-04-06,"['dance pop', 'pop', 'pop rap', 'rap', 'latin', 'reggaeton', 'trap latino', 'latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",253390,80,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,spotify:track:58q2HKrzhC3ozto2nDdN4z,"{'dup_id': -1, 'num_dup': 0}",spotify:track:58q2HKrzhC3ozto2nDdN4z,
430,WAP (feat. Megan Thee Stallion),"{'ar_name0': 'Cardi B', 'ar_name0_fil': 'cardi b', 'ar_uri0': 'spotify:artist:4kYSro6naA4h99UJvo89HB', 'ar_name1': 'Megan Thee Stallion', 'ar_name1_fil': 'megan thee stallion', 'ar_uri1': 'spotify:artist:181bsRPaVXVlUKXrxwZfHK'}","Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),2020-08-07,"['dance pop', 'pop', 'pop rap', 'rap', 'dance pop', 'houston rap', 'pop', 'trap queen']",187541,80,0.935,0.454,1.0,-7.509,1.0,0.375,0.0194,0.0,0.0824,0.357,133.073,spotify:track:4Oun2ylbjFKMPTiaSbbCih,"{'dup_id': -1, 'num_dup': 0}",spotify:track:4Oun2ylbjFKMPTiaSbbCih,
29,Outside (feat. Ellie Goulding),"{'ar_name0': 'Calvin Harris', 'ar_name0_fil': 'calvin harris', 'ar_uri0': 'spotify:artist:7CajNmpbOovFoOoasH2HaY', 'ar_name1': 'Ellie Goulding', 'ar_name1_fil': 'ellie goulding', 'ar_uri1': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}","Calvin Harris, Ellie Goulding",Motion,2014-10-31,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance', 'dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",227267,79,0.646,0.823,2.0,-4.123,0.0,0.0394,0.213,0.0,0.322,0.418,128.035,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,"{'dup_id': -1, 'num_dup': 0}",spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,
30,DNA.,"{'ar_name0': 'Kendrick Lamar', 'ar_name0_fil': 'kendrick lamar', 'ar_uri0': 'spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg'}",Kendrick Lamar,DAMN.,2017-04-14,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",185947,79,0.638,0.523,1.0,-6.664,1.0,0.357,0.00454,0.0,0.0842,0.422,139.913,spotify:track:6HZILIRieu8S0iqY8kIKhj,"{'dup_id': -1, 'num_dup': 0}",spotify:track:6HZILIRieu8S0iqY8kIKhj,
237,Killing In The Name,"{'ar_name0': 'Rage Against The Machine', 'ar_name0_fil': 'rage against the machine', 'ar_uri0': 'spotify:artist:2d0hyoQ5ynDBnkvAbJKORj'}",Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),1992-01-01,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'nu metal', 'political hip hop', 'rap metal', 'rap rock', 'rock']",313573,79,0.466,0.833,7.0,-4.215,1.0,0.304,0.0266,0.0,0.0327,0.661,88.785,spotify:track:59WN2psjkt1tyaxjspN8fp,"{'dup_id': -1, 'num_dup': 0}",spotify:track:59WN2psjkt1tyaxjspN8fp,
